I'm in good health.	Olen terve.
Won't you have some more tea?	Etkö ottaisi vielä vähän lisää teetä?
It was cold here through March.	Täällä oli kylmää läpi maaliskuun.
She's considering changing her life.	Hän harkitsee elämänmuutosta.
Can you correct the problem?	Voitko oikaista ongelman?
Tom's cooking.	Tom laittaa ruokaa.
This is the place where the battle took place.	Tässä paikassa käytiin kyseinen taistelu.
This is really gross.	Tämä on todella ällöttävää.
I was with Tom the night before he died.	Olin Tomin luona hänen kuolemaansa edeltävänä iltana.
Can I stay?	Voinko minä jäädä?
He is apt to get angry if you ask a lot of questions.	Hänellä on taipumus suuttua, jos saa liikaa kysymyksiä.
I am often in difficulties.	Olen usein vaikeuksissa.
We'll talk to Tom then make up our minds.	Puhumme Tomille ja päätämme sitten.
Tom misunderstood.	Tomi ymmärsi väärin.
Tom told us another one of his stupid jokes.	Tom kertoi meille yhden typeristä vitseistään.
No, I don't want to.	Ei, en halua.
She gave me several books.	Hän antoi minulle useita kirjoja.
Stay a little longer.	Jää vähän pidemmäksi.
That's what I intend to do.	Niin minä aion tehdä.
Tell me more.	Kerro lisää.
Defend yourselves.	Puolustakaa itseänne.
London is among the world's largest cities.	Lontoo on yksi maailman suurimmista kaupungeista.
He was not a good politician.	Hän ei ollut hyvä poliitikko.
Tom told me that he was planning to study abroad.	Tom kertoi minulle, että hän suunnitteli ulkomailla opiskelua.
The students laughed.	Opiskelijat nauroivat.
I like comic books.	Tykkään sarjakuvista.
Tom followed in his father's footsteps.	Tom seurasi isänsä jalanjäljissä.
Deposit this check in my checking account.	Talleta tämä shekki minun shekkitililleni.
Overfishing is a major problem.	Ylikalastus on suuri ongelma.
I thought you'd gone with Tom.	Luulin, että menisit Tomin kanssa.
Tom told me what time the meeting started.	Tom kertoi minulle mihin aikaan kokous alkoi.
We waited a long time, but she didn't show up.	Odotimme pitkän aikaa, mutta hän ei ilmaantunut paikalle.
They reached their goal.	He saavuttivat tavoitteensa.
That's a good sign.	Se on hyvä merkki.
Tom sat on the floor.	Tomi istui lattialla.
I'm still not buying it.	En edelleenkään osta sitä.
I plan on being there in person.	Suunnittelen olevani siellä henkilökohtaisesti.
The strange-looking woman was thought to be a witch.	Oudon näköistä naista luultiin noidaksi.
How beautiful!	Miten kaunista!
They got married three months ago.	He menivät naimisiin kolme kuukautta sitten.
Where's the truck?	Missä rekka on?
Does Tom live here with you?	Asuuko Tom täällä sinun kanssasi?
She is wrong.	Hän on väärässä.
Who did it?	Kuka teki sen?
Is French pronunciation difficult?	Onko ranskan ääntäminen vaikeaa?
Anything else?	Mitään muuta?
I've already eaten enough.	Olen syönyt jo tarpeeksi.
You can do whatever you want to do, of course.	Voit tietysti tehdä mitä ikinä haluatkin.
I was a little surprised.	Olin vähän yllättynyt.
That was the last time I visited Tom.	Se oli viimeinen kerta, kun kävin Tomin luona kylässä.
Tom is a good carpenter.	Tomi on hyvä puuseppä.
I couldn't stop Tom.	En voinut pysäyttää Tomia.
Tom doesn't know how worried Mary is.	Tom ei tiedä kuinka huolissaan Mary on.
I can't afford a car.	Minulla ei ole varaa autoon.
I ordered pizza by telephone.	Tilasin pizzaa puhelimella.
Tom told me that he couldn't really trust Microsoft.	Tom kertoi minulle, ettei hän pystynyt oikeastaan luottamaan Microsoftiin.
Tom put his hat on and went outside.	Tomi laittoi hatun päähän ja meni ulos.
You're not the problem.	Sinä et ole ongelma.
I am convinced that he is innocent.	Olen vakuuttunut siitä, että hän on viaton.
It is easier to write a bad poem than to understand a good one.	On helpompi kirjoittaa huono runo kuin ymmärtää hyvää.
Do you know how to drive?	Osaatko ajaa?
I leave for London tomorrow morning.	Lähden huomenna aamulla Lontooseen.
What hotel are you staying at?	Missä hotellissa sinä asut?
It happened one year ago.	Se tapahtui vuosi sitten.
Unfortunately, the information is accurate.	Valitettavasti tieto pitää paikkansa.
You're a fool.	Olet idiootti.
Sometimes a cigar is just a cigar.	Joskus sikari on pelkkä sikari.
I can't agree with Tom.	En voi olla samaa mieltä Tomin kanssa.
I'm good at what I do.	Olen hyvä siinä, mitä teen.
I love learning languages.	Rakastan kielten opiskelua.
I stayed at a nice hotel.	Minä yövyin mukavassa hotellissa.
We are teachers.	Olemme opettajia.
I'm not working with Tom anymore.	En tee enää Tomin kanssa töitä.
Why were you late this morning?	Miksi olit tänäaamuna myöhässä?
I can't stand this pain any more.	En kestä tätä kipua enää.
I'll show you the car I've just bought.	Näytän sinulle auton, jonka juuri ostin.
The black one is mine.	Musta on minun.
Tom was the only one who was late.	Tomi oli ainoa, joka oli myöhässä.
I like history.	Tykkään historiasta.
Tom can't do everything by himself.	Tom ei voi tehdä kaikkea itsekseen.
A glass of white wine, please.	Saisinko lasin valkoviiniä?
Everything is ready here.	Kaikki on valmista täällä.
How did you find Tom?	Miten sinä löysit Tomin?
Who broke the chair?	Kuka rikkoi tuolin?
I'm trying to memorize the names of constellations.	Minä yritän painaa mieleeni tähtikuvioiden nimet.
These cookies are star-shaped.	Nämä keksit ovat tähden muotoisia.
Now it's too late.	Nyt se on liian myöhäistä.
The sunny side of the hill is full of deciduous trees.	Mäen aurinkoinen puoli on täynnä lehtipuita.
Are you mad at me?	Oletko minulle vihainen?
It's not necessary to put him in the hospital.	Ei ole välttämätöntä sijoittaa häntä sairaalaan.
Are you feeling better today?	Onko sinulla parempi olo tänään?
It's warm today.	Tänään on kuuma.
Did he come by bus or by train?	Tuliko hän bussilla vai junalla?
Tom's right.	Tom on oikeassa.
My family didn't have much money.	Perheelläni ei ollut paljoa rahaa.
She grows many kinds of flowers.	Hän kasvattaa monenlaisia kukkia.
Was it really that bad?	Oliko se todella niin paha?
I'm not a native speaker.	En ole kielen syntyperäinen puhuja.
I've just finished eating breakfast.	Söin juuri aamiaiseni loppuun.
Who did you kiss?	Ketä sinä suutelit?
Beijing is changing so rapidly.	Peking muuttuu niin nopeaan.
I think it's going to be very hot today.	Luulen, että tänään tulee todella kuuma päivä.
I should've done what Tom asked.	Minun olisi pitänyt tehdä mitä Tom pyysi.
How would you like your eggs?	Millaisina haluat munasi?
Tom's smart.	Tom on fiksu.
This actually doesn't taste too bad.	Tämä ei oikeastaan maistu hullummalta.
You should get moving.	Sinun pitäisi lähteä liikkeelle.
There are rats in the kitchen.	Keittiössä on rottia.
My guests have only been here since yesterday, but they've already eaten me out of house and home.	Vieraani ovat olleet täällä vasta eilisestä, mutta he ovat jo syöneet minut puille paljaille.
A good idea came to mind.	Mieleeni tuli hyvä idea.
All I know is we love each other.	Tiedän vain, että me rakastamme toisiamme.
Send me a postcard.	Lähetä minulle postikortti.
Christmas is here.	Joulu on täällä.
Is that a joke?	Onko se vitsi?
I had some trouble.	Minulla oli jonkin verran vaikeuksia.
Who told Tom?	Kuka kertoi Tomille?
I don't want to make the same mistakes again.	En halua tehdä samoja virheitä uudestaan.
If it were not for your help, I could not have succeeded.	Ilman sinun apuasi en olisi onnistunut.
Why do horses wear blinders?	Miksi hevosilla on silmälaput?
I'll just leave this here.	Minä vain jätän tämän tähän.
That was never my problem.	Se ei ollut ikinä minun ongelmani.
The ice is very thick.	Jää on erittäin paksua.
Your watch is ten minutes slow.	Kellosi on kymmenen minuuttia jäljessä.
You've done a pretty good job so far.	Olet tähän mennessä tehnyt melkoisen hyvää työtä.
I tend to look at the pictures before reading the text.	Minä tapaan katsoa kuvia ennen kuin luen tekstin.
Do you know any doctors who speak Japanese?	Tunnetko jonkun lääkärin, joka puhuu japania?
The two nations have strong trade ties.	Niillä kahdella valtiolla on vahvat kauppasiteet.
I was born and brought up in Tokyo.	Synnyin ja kasvoin Tokiossa.
Her name wasn't on the list.	Hänen nimensä ei ollut listalla.
I plan to stay at home all day tomorrow.	Aion olla huomenna koko päivän kotona.
You'd better stop Tom.	Sinun on parempi pysäyttää Tom.
Lie down on your left side.	Makaa vasemmalla kyljelläsi.
I don't get this.	Mä en tajuu tätä.
I bought an umbrella.	Ostin sateenvarjon.
Tom did everything he could.	Tom teki kaikkensa.
Your house is fantastic.	Talosi on upea.
I like French.	Pidän ranskasta.
I didn't quite catch that.	En oikein saanut kiinni siitä.
It was believed that whales were fish.	Valaita luultiin kaloiksi.
Do they pay you well?	Saatko hyvää palkkaa?
You've made that abundantly clear.	Olet tehnyt sen erittäin selväksi.
Your room is dirty.	Huoneesi on likainen.
I read a book.	Luin kirjan.
I only wish I had a little more time to finish this.	Voi kunpa minulla vain olisi vähän enemmän aikaa tämän valmiiksi saamiseksi.
Tom is listening to music.	Tom kuuntelee musiikkia.
I'll call.	Minä soitan.
You can drive a car, can't you?	Sinä osaat ajaa autolla, eikö niin?
My father quit smoking.	Isäni lopetti tupakoimisen.
I read this book a couple of years ago.	Luin tämän kirjan pari vuotta sitten.
I'm too tired to think.	Olen liian väsynyt ajatellakseni.
My father doesn't like music.	Isäni ei pidä musiikista.
I'm really sorry I told you that.	Olen todella pahoillani, kun kerroin sinulle sen.
He thought that I was very tired.	Hän luuli, että olin todella väsynyt.
Who sent you?	Kuka lähetti sinut?
It's a joke.	Se on vitsi.
I got a job.	Sain työn.
I believe that suicide is wrong.	Minun mielestäni itsemurha on väärin.
This isn't what I wanted.	Tämä ei ole sitä, mitä halusin.
It's so typical.	Se on niin tyypillistä.
Go get some tools.	Mene hakemaan työkaluja.
I feed my cat every morning and every evening.	Syötän kissani joka aamu ja joka ilta.
I objected when the waiter tried to remove my plate.	Esitin vastalauseen kun tarjoilija yritti viedä lautaseni.
My friends and I'll join you.	Ystäväni ja minä liitymme seuraanne.
Tom's parents are divorced.	Tomin vanhemmat ovat eronneet.
I'm honored to work with Tom.	Minulla on kunnia työskennellä Tomin kanssa.
Why didn't you go to Germany?	Miksi et mennyt Saksaan?
Tom's hesitating.	Tom epäröi.
I'll prepare sashimi for dinner.	Teen sashimia päivälliseksi.
Tom named his boat after his girlfriend, but then she left him.	Tom nimesi veneensä tyttöystävänsä mukaan, mutta sitten tyttöystävä jätti hänet.
Tom has died.	Tom on kuollut.
Where's my mama?	Missä on äitini?
The old woman you just saw is my grandmother.	Vanha nainen, jonka sinä äsken näit, on minun isoäitini.
If I don't fail, I will get my driving license before New Year.	Jos en epäonnistu, saan ajokortin vielä tänä vuonna.
I must thank him.	Minun täytyy kiittää häntä.
Tom shook everybody's hands.	Tom kätteli kaikkia.
Have you ever played golf?	Oletko koskaan pelannut golfia?
I can't hold on much longer.	En voi pidätellä paljon pidempään.
Push the door open.	Työnnä ovi auki.
I maintain that sports are a waste of time.	Pitäydyn mielipiteessäni, että urheilu on ajanhukkaa.
That's not our job.	Tuo ei ole meidän tehtävämme.
Pull the trigger.	Vedä liipasimesta.
He got wet from the waist to the knees.	Hän kastui vyötäröltä polviin.
Can we create something out of nothing?	Voimmeko kehittää jotakin tyhjästä.
Pickpockets almost always work in groups.	Taskuvarkaat toimivat melkein aina ryhmissä.
My brother was injured in the car accident.	Veljeni loukkaantui auto-onnettomuudessa.
The Nintendo DS is a popular handheld game console.	Nintendo DS on suosittu käsipelikonsoli.
The water was ice cold.	Vesi oli jääkylmää.
I'm not easygoing.	En ole rento tyyppi.
Tom moved closer.	Tomi siirtyi lähemmäksi.
The doctor advised my father to give up smoking.	Lääkäri neuvoi isääni lopettamaan tupakoinnin.
I may be old, but I'm not crazy.	Saatan olla vanha, mutta en ole hullu.
Tom lives with his mother.	Tomi asuu äitinsä luona.
The fastest way to travel is by plane.	Nopeimmin matkustaa lentäen.
Where is the mate to this sock?	Missä tämän sukan pari on?
Did you reserve a room at the hotel?	Varasitko huoneen hotellista?
I'm furious.	Minä olen raivoissani.
Tom unbuckled his seatbelt.	Tom avasi turvavyönsä.
It's a typo. Sorry.	Se on kirjoitusvirhe. Anteeksi.
People love freedom.	Ihmiset rakastavat vapautta.
I just arrived now.	Minä vasta juuri saavuin.
Tom turned over a new leaf when he met Mary.	Tom käänsi uuden lehden elämässään, kun hän tapasi Marin.
Do you like Japanese food?	Pidätkö japanilaisesta ruoasta?
You did a very good job.	Teit todella hyvää työtä.
Am I going to have to do this by myself?	Täytyykö minun tehdä tämä itse?
Tom begged for mercy.	Tomi pyysi armoa.
She lives a few blocks away from here.	Hän asuu muutaman korttelin päästä täältä.
What year are you in school?	Monennella luokalla olet?
What do you want to eat?	Mitä haluat ruuaksi?
Tom was often bullied in school.	Tomia kiusattiin usein koulussa.
The fire was out.	Tuli oli sammunut.
Is that illegal?	Onko tuo laitonta?
Our plans for the vacation are still up in the air.	Emme ole vielä päättäneet lomasta.
Vultures circled over the dead bodies.	Petolinnut kaartelivat ruumiiden yllä.
Wait!	Odota!
Tom told me that he doesn't like to study in the morning.	Tom kertoi minulle, ettei hän tykkää opiskella aamulla.
I swam in the river.	Uin joessa.
I know a lot about ships.	Tiedän paljon laivoista.
I love chocolates, especially those with nuts.	Rakastan suklaata, erityisesti sellaista, jossa on pähkinöitä.
Japan maintains friendly relations with the United States.	Japani ylläpitää ystävällisiä suhteita Yhdysvaltojen kanssa.
I can't speak French.	En osaa puhua ranskaa.
I have a friend coming over to visit tomorrow.	Minulla on eräs ystävä tulossa käymään huomenna.
Tom has gone camping.	Tomi lähti telttailemaan.
Let Tom get some rest.	Annetaan Tomille hieman lepoa.
There's an orange on the table.	Pöydällä on appelsiini.
I knew he would accept.	Tiesin, että hän suostuisi.
Do you want these?	Haluatko nämä?
I drank too much and was unsteady on my feet.	Join liian paljon ja jalkani horjuivat.
We drank cappuccinos and talked about old times.	Joimme cappuccinot ja juttelimme vanhoista ajoista.
You're one of Tom's friends, aren't you?	Sinähän olet Tomin kavereita, vai mitä?
Tom is at lunch.	Tom on lounaalla.
That guitar is too expensive for me to buy.	Kitara on minulle liian kallis ostaa.
Tom is taller than I am.	Tom on pidempi kuin minä.
Nice talking with you.	Oli mukavaa jutella sinun kanssasi.
Why did no one warn me?	Miksei kukaan varoittanut minua?
Tom tossed his dirty clothes in the hamper.	Tom heitti likaiset vaatteensa koriin.
I think you should get a haircut.	Minusta sinun pitäisi mennä parturiin.
Tom would be mad.	Tom suuttuisi.
I lost a lot of money.	Hävisin paljon rahaa.
This bird cannot fly.	Tämä lintu ei voi lentää.
The doctor has ordered the patient to abstain from wine.	Lääkäri kehotti potilasta pidättäytymään viinin juomisesta.
What time does the first train leave?	Monelta ensimmäinen juna lähtee?
I forgot that Tom spoke French.	Unohdin, että Tom puhuu ranskaa.
Tom loves science fiction.	Tomi rakastaa tieteiskirjallisuutta.
I didn't know you were coming here either.	En myöskään tiennyt sinun tänne tulostasi.
You know where I'll be.	Sinä tiedät mistä minut löytää.
Bananas are a good source of potassium.	Banaanit ovat hyviä kaliumin lähteitä.
I don't have anything to give to you.	Minulla ei ole mitään sinulle annettavaa.
The fire alarm sounded.	Palohälyytin soi.
A good idea occurred to me just then.	Juuri silloin sain hyvän idean.
Your name was number three on the list.	Nimesi oli listalla sijalla kolme.
They're just using you.	He käyttävät sinua vain hyväkseen.
She wrote down something in her notebook.	Hän kirjoitti jotain vihkoonsa.
A good idea occurred to me at that time.	Silloin mieleeni tuli hyvä ajatus.
We tried to compromise with them.	Yritimme kompromissia heidän kanssaan.
He was subjected to torture by the police.	Hän koki poliisin kidutusta.
You have many enemies.	Sinulla on paljon vihollisia.
It's freezing in here! Can somebody turn off the air-conditioner?	Minä jäädyn tänne! Voisiko joku sammuttaa ilmastointilaitteen?
They should wash their faces.	Heidän pitäisi pestä kasvonsa.
It's not going to rain tonight.	Tänä iltana ei sada.
Tom died Monday morning.	Tomi kuoli maanantaiaamuna.
There were penguin footprints in the sand.	Hiekassa oli pingviinin jalanjälkiä.
I gave her some candy.	Annoin hänelle vähän makeisia.
Your older brother is really angry.	Sinun isoveljesi on todella vihainen.
I eat dinner at quarter past seven.	Syön illallista vartin yli seitsemän.
The train was thirty minutes late on account of the heavy snow.	Juna oli kolmekymmentä minuuttia myöhässä rankan lumisateen takia.
Don't forget your toothbrush.	Älä unohda hammasharjaasi.
Wait in the waiting room.	Odota odotushuoneessa.
French isn't difficult.	Ranska ei ole vaikea kieli.
Soccer is the world's most popular sport.	Jalkapallo on maailman suosituin urheilulaji.
Tom won't be afraid of you.	Tom ei sinua pelkää.
Tom is overconfident.	Tom on liian itsevarma.
I love solving puzzles.	Minusta on ihanaa ratkoa arvoituksia.
Tom shaved.	Tom ajoi partansa.
That's all I can do.	Siinä kaikki mitä voin tehdä.
Tom and Mary are waiting with John.	Tom ja Mary odottavat Johnin kanssa.
All's fair in love and war.	Kaikki on sallittua sodassa ja rakkaudessa.
Will you wait a moment?	Voisitko odottaa hetken?
Do you need a ride anywhere?	Tarvitsetko kyytiä minnekään?
The prize money enabled me to go on a world cruise.	Palkintorahat antoivat minulle mahdollisuuden mennä maailmanympäriristeilylle.
It's a bad time to sell.	On huono aika myydä.
I would act differently in your place.	Minä toimisin toisin sinun asemassasi.
Be home before dark.	Tule kotiin ennen pimeän tuloa.
Tom went to the park by himself.	Tomi meni yksin puistoon.
I'm afraid Tom will show up and ruin my party.	Pelkään, että Tom ilmestyy paikalle ja pilaa juhlani.
I know the truth.	Minä tiedän totuuden.
Sorry for the delay.	Anteeksi että olen myöhässä.
You're a kind man.	Olet ystävällinen mies.
You're in a lot of trouble.	Olet isoissa vaikeuksissa.
I've always believed that.	Olen aina uskonut niin.
He was a good student and a good athlete.	Hän oli hyvä opiskelija ja hyvä urheilija.
I have to learn how to shoot.	Minun on opittava ampumaan.
Tom wanted to hang out with Mary.	Tom halusi hengailla Marin kanssa.
This is a mistake.	Tämä on virhe.
Tom pulled Mary to safety.	Tom vetäisi Marin turvaan.
Please speak French.	Voisitko puhua ranskaa?
We saw everything.	Näimme kaiken.
Maybe we can work something out.	Ehkäpä saamme jonkin ratkaisun aikaiseksi.
My grandmother lived with us.	Minun isoäitini asui meidän kanssamme.
Do you really want that on your conscience?	Haluatko todella sen omalletunnollesi?
Tom doesn't know how to say what he wants to say in French.	Tom ei osaa sanoa ranskaksi mitä hän haluaa.
You know it's worth it.	Sinä tiedät, että se on sen arvoista.
Learn Italian.	Opiskele italiaa.
I need to jump start my car.	Minun täytyy käynnistää autoni kaapeleilla.
The early bird catches the worm.	Aikainen lintu madon nappaa.
I'm going tomorrow.	Olen lähdössä huomenna.
After reflecting on my life up to now, I decided that I needed to change my goals.	Pohdittuani tähänastista elämääni päätin että tarvitsin päämäärieni muuttamista.
I can handle it.	Pärjään sen kanssa.
I am free till 6 o'clock this evening.	Olen vapaana tänä iltana kuuteen asti.
The devastation in Kobe was as terrible as I had imagined.	Koben hävitys oli niin kauhea kuin olin kuvitellutkin.
Tom has already made up his mind.	Tom on jo päättänyt.
You're my kid's teacher.	Olet lapseni opettaja.
Tom is sleeping.	Tom nukkuu.
I teach French to adults.	Opetan ranskaa aikuisille.
Tom works in Boston.	Tom on töissä Bostonissa.
What time do you get up?	Monelta sinä heräät?
I don't understand that question.	En ymmärrä tuota kysymystä.
Hey, what's wrong?	Hei, mikä hätänä?
That's one explanation.	Se on yksi selitys.
I'm glad it's over.	Olen iloinen että se on ohi.
Whose side are you on?	Kenen puolella olet?
Tom is there now.	Tom on siellä nyt.
I offered Tom some money.	Tarjosin Tomille rahaa.
I'll have to get a new exhaust pipe for the car.	Minun täytyy saada uusi pakoputki autoon.
We've run out of gasoline.	Meiltä loppui bensa.
What don't you like about your family?	Mistä asioista et pidä perheessäsi?
He acknowledged his faults.	Hän tunnusti virheensä.
He taught himself French.	Hän opiskeli itsenäisesti ranskaa.
I have been anxious about my son's safety.	Olen ollut huolissani poikani turvallisuudesta.
This book is too difficult for me.	Tämä kirja on liian vaikea minulle.
This sort of work calls for a lot of patience.	Tällainen työ vaatii paljon kärsivällisyyttä.
Are you in there?	Oletko siellä?
They're here.	He ovat täällä.
How long does a bear sleep?	Kauanko karhu nukkuu?
A cat got out from under the car.	Kissa tuli pois auton alta.
I wish I had the courage to do that.	Olisipa minulla tarpeeksi rohkeutta siihen.
Tom is writing an autobiography.	Tomi kirjoittaa omaelämänkertaa.
You seem sad.	Vaikutat surulliselta.
A pick is a long handled tool used for breaking up hard ground surfaces.	Hakku on pitkävartinen työkalu, jota käytetään kovan maanpinnan rikkomiseen.
Money isn't the problem.	Raha ei ole ongelma.
How much longer is this going to take?	Kauanko tämä kestää?
I'm looking for you.	Etsin sinua.
I thought about the future.	Ajattelin tulevaisuutta.
It doesn't mean what you think it means.	Se ei tarkoita sitä mitä luulet.
I get more than two hundred emails a day.	Saan yli kaksisataa sähköpostiviestiä päivässä.
When I was young, I tried to read as many books as I could.	Nuorena yritin lukea niin paljon kirjoja kuin voin.
I know your father very well.	Tunnen todella hyvin sinun isäsi.
Watch out! There's a big hole there.	Varo! Siinä on iso reikä!
Do you enjoy studying French?	Pidätkö ranskan opiskelusta?
I don't have time to take a break.	Minulla ei ole aikaa pitää taukoa.
I must find Tom.	Minun täytyy löytää Tom.
We surrendered.	Antauduimme.
I hope this works.	Toivon, että tämä toimii.
I think that you're wrong.	Minusta sinä olet väärässä.
He was kind enough to help me.	Hän oli kiltti ja auttoi minua.
Apples are red.	Omenat ovat punaisia.
I'm busy here.	Minulla on tässä kiire.
You have a little fever today, don't you?	Sinulla on tänään vähän kuumetta, eikö niin?
Tom put the diary in the drawer.	Tomi laittoi päiväkirjan vetolaatikkoon.
Are you helping Tom?	Autatko sinä Tomia?
He took out some coins.	Hän otti esiin joitakin kolikoita.
We value our customers.	Arvostamme asiakkaitamme.
Pizza is on its way.	Pizza on tuloillaan.
This could get interesting.	Tästä voi tulla mielenkiintoista.
Tom would be proud of you.	Tomi olisi ylpeä sinusta.
What are you knitting?	Mitä olet kutomassa?
My brother is coming on Monday.	Veljeni tulee maanantaina.
What were you and Tom doing in the attic?	Mitä sinä ja Tomi teitte ullakolla?
Tom sipped his hot chocolate.	Tomi hörppäsi kaakaotansa.
Tom is an ex-con.	Tom on entinen vanki.
Tom was there for me when I needed him.	Tom oli paikalla kun häntä tarvitsin.
They were caught red-handed.	He jäivät kiinni itse teossa.
Is that a wig?	Onko se peruukki?
It's a very good plan.	Se on todella hyvä suunnitelma.
That sounds very tempting.	Se kuulostaa todella houkuttelevalta.
Tom's stupid.	Tom on tyhmä.
I need first aid.	Tarvitsen ensiapua.
The street is very narrow.	Katu on todella kapea.
Do you want to get married and have children?	Haluatko mennä naimisiin ja saada lapsia?
Why didn't you come to school yesterday?	Miksi sinä et tullut kouluun eilen?
I'm sorry I ruined your party.	Anteeksi, että pilasin juhlasi.
I don't know who started that rumor.	En tiedä, kuka aloitti tämän huhun.
I came to say I'm sorry.	Tulin sanomaan anteeksi.
Does anyone here speak Japanese?	Onko täällä ketään, joka osaa puhua japania?
It's not what you say, but what you do that counts.	Ei se mitä sanot vaan teet on mitä lasketaan.
Tom helped Mary escape from jail.	Tomi auttoi Marin pakenemaan vankilasta.
There's a movie I want to watch on TV tomorrow night.	Televisiosta tulee huomenillalla elokuva, jonka tahdon katsoa.
Nobody will help you.	Kukaan ei auta sinua.
Tom can't afford both.	Tomilla ei ole varaa kumpaankin.
Lie still.	Makaa aloillasi.
They had a boat.	Heillä oli vene.
How strange!	Miten outoa!
A loud noise made him jump.	Kova ääni sai hänet hätkähtämään.
I'm not the least bit worried.	En ole yhtään huolissani.
You have to let us leave.	Sinun täytyy päästää meidät lähtemään.
Get away!	Häivy!
They are my grandfather's books.	Ne ovat isoisäni kirjoja.
I like cooking.	Minä pidän ruoanlaitosta.
He is my uncle.	Hän on minun setäni.
I asked Mary out.	Pyysin Marya treffeille.
Tom rolled the dice.	Tomi heitti noppaa.
That guy's very embittered.	Tuo kaveri on hyvin katkeroitunut.
Tom acknowledges that he was defeated.	Tom myöntää, että hänet päihitettiin.
Let's not ruin this.	Ei nyt pilata tätä.
The hallway is slippery, so watch your step.	Käytävä on liukas, joten kävele varovasti.
This place is in shambles.	Tämä paikka on täysin sekaisin.
Tom got his girlfriend's name tattooed on his arm.	Tom otti tyttöystävänsä nimen tatuointina käsivarteensa.
I was a bit shocked.	Olin vähän järkyttynyt.
Tom shut the kitchen door.	Tom sulki keittiön oven.
Is her hair naturally red?	Ovatko hänen hiuksensa luonnonpunaiset?
Do you really expect Tom to tell you the truth?	Oletatko todella, että Tom kertoo sinulle totuuden?
Tom discussed the problem with Mary.	Tom keskusteli ongelmasta Maryn kanssa.
Tom follows Mary on Twitter.	Tom seuraa Maria Twitterissä.
I'm sorry to interrupt you.	Anteeksi kun keskeytän sinut.
Tom took off his socks.	Tom otti sukat pois jalasta.
My parents died when I was a kid.	Minun vanhempani kuolivat, kun olin lapsi.
