Go.	Mene.
He is nasty.	Hän on inhottava.
He is young.	Hän on nuori.
He resigned.	Hän erosi.
He was busy.	Hänellä oli kiire.
He's coming.	Hän on tulossa.
He's crying.	Hän itkee.
He's stupid.	Hän on typerä.
How are you?	Mitä kuuluu?
How strange!	Miten outoa!
I am hungry.	Minä olen nälkäinen.
I am online.	Olen linjoilla.
I am taller.	Olen pitempi.
I apologize.	Olen pahoillani.
I blame Tom.	Syytän Tomia.
I can share.	Minä voin jakaa.
I don't lie.	En valehtele.
I eat bread.	Minä syön leipää.
I eat fruit.	Minä syön hedelmiä.
I feel cold.	Minun on vilu.
I feel sick.	Minua oksettaa.
I got a job.	Sain työn.
I got lucky.	Olin onnekas.
I hate dogs.	Vihaan koiria.
I hate milk.	Inhoan maitoa.
I hated Tom.	Minä vihasin Tomia.
I like beer.	Tykkään oluesta.
I like both.	Pidän molemmista.
I like cake.	Tykkään kakusta.
I like dogs.	Minä pidän koirista.
I like fish.	Tykkään kalasta.
I like rice.	Tykkään riisistä.
I like snow.	Pidän lumesta.
I like that.	Minä pidän siitä.
I live here.	Asun täällä.
I love beer.	Rakastan olutta.
I loved Tom.	Rakastin Tomia.
I need help.	Tarvitsen apua.
I need this.	Tarvitsen tätä.
I never win.	En koskaan voita.
I often ski.	Laskettelen usein.
I oppose it.	Minä vastustan sitä.
I overslept.	Nukuin pommiin.
I pay taxes.	Minä maksan verot.
I regret it.	Kadun sitä.
I saw a dog.	Näin koiran.
I smell gas.	Haistan kaasua.
I surrender.	Antaudun.
I thank you.	Kiitän sinua.
I trust you.	Luotan sinuun.
I was drunk.	Olin humalassa.
I was fired.	Sain potkut.
I was moved.	Minut siirrettiin.
I was tired.	Olin väsynyt.
I was wrong.	Olin väärässä.
I will stay.	Minä jään.
I will wait.	Minä odotan.
I work here.	Olen töissä täällä.
I'll buy it.	Minä ostan sen.
I'll get by.	Tulen kyllä toimeen.
I'm Finnish.	Olen suomalainen.
I'm a baker.	Olen leipuri.
I'm baffled.	Olen ymmälläni.
I'm certain.	Olen varma.
I'm dancing.	Minä tanssin.
I'm fasting.	Paastoan.
I'm furious.	Minä olen raivoissani.
I'm healthy.	Olen terve.
I'm in Rome.	Olen Roomassa.
I'm jealous.	Olen mustasukkainen.
I'm kidding.	Se on vitsi.
I'm not mad.	Minä en ole hullu.
I'm not old.	En ole vanha.
I'm patient.	Olen luonteeltani todella kärsivällinen.
I'm selfish.	Olen itsekäs.
I'm serious.	Olen tosissani.
I'm special.	Olen erityinen.
I'm starved.	Mä kuolen nälkään!
I'm staying.	Minä jään.
I'm talking.	Minä puhun.
I'm the law.	Minä olen laki!
I'm thirsty.	Mullon jano.
I'm through.	Olen valmis.
I'm touched.	Olen liikuttunut.
Is Tom busy?	Onko Tomilla kiire?
Is Tom dead?	Onko Tomi kuollut?
Is Tom sick?	Onko Tom kipeä?
Is Tom well?	Voiko Tom hyvin?
Is it yours?	Onko se sinun?
Is that Tom?	Onko tuo Tom?
Is that all?	Onko siinä kaikki?
It can't be!	Ei voi olla!
It may hurt.	Se saattaa sattua.
It was easy.	Se oli helppoa.
It's a doll.	Se on nukke.
It's a fish.	Se on kala.
It's a harp.	Se on harppu.
It's a joke.	Se on vitsi.
It's cloudy.	On pilvistä.
It's secret.	Se on salaisuus.
It's so big.	Se on niin iso!
It's spring.	On kevät.
It's stupid.	Se on tyhmää.
It's warmer.	On lämpimämpää.
Jump across.	Hyppää yli.
Keep moving.	Pysy liikkeellä.
Keep trying.	Jatka yrittämistä.
Let's begin.	Aloitetaan.
Let's dance.	Tanssitaan.
Let's drink.	Juodaan.
Let's go up.	Mennään ylös.
Let's start!	Aloitetaan!
Let's start.	Aloitetaan!
Life is fun.	Elämä on hauskaa.
Look around.	Katso ympärillesi.
Make a wish.	Toivo jotain.
Many thanks.	Kiitos todella paljon!
Money talks.	Raha puhuu.
Need a lift?	Tarvitsetko kyytiä?
Nice timing.	Hyvä ajoitus.
Nobody came.	Kukaan ei tullut.
Nobody died.	Kukaan ei kuollut.
One is blue.	Yksi on sininen.
Plants grow.	Kasvit kasvavat.
Please come.	Ole kiltti ja tule.
Please sing.	Laula, ole hyvä.
Please stay.	Jää tänne.
Pray for me.	Rukoile puolestani.
Release him.	Vapauta hänet.
She blushed.	Hän punaistui.
She hit him.	Hän löi häntä.
She is dead.	Hän on kuollut.
She's a dog.	Se on koira.
She's crazy.	Hän on pöhkö.
Stand aside!	Astu syrjään!
Stand aside.	Väistä!
Stand still!	Pysy paikallasi!
Stay inside.	Pysy sisällä.
Step inside.	Astu sisään.
Stop crying.	Lopeta itkeminen.
Stop moving!	Lopeta liikkuminen!
Stop moving.	Lakkaa liikkumasta.
Stop trying.	Lakkaa yrittämästä.
Stop! Thief!	Seis! Varas!
Take a seat.	Istuhan alas.
Tea, please.	Tee, kiitos.
That helped.	Tuo auttoi.
That's cool.	Tuo on siistiä.
That's cute.	Se on söpö.
That's free.	Se on ilmainen.
That's life.	Se on elämää.
The TV's on.	TV on päällä.
There he is.	Siinä hän nyt on.
There it is!	Siinä se on.
There it is.	Siinä se on.
There's Tom.	Tuolla Tom on.
They called.	He soittivat.
They hugged.	He halasivat.
They kissed.	He suutelivat.
They obeyed.	He tottelivat.
They waited.	He odottivat.
They walked.	He kävelivät.
This is his.	Tämä on hänen.
Tom blushed.	Tom punastui.
Tom came by.	Tom piipahti sisään.
Tom changed.	Tomi muuttui.
Tom clapped.	Tom taputti.
Tom coughed.	Tom yski.
Tom fainted.	Tom pyörtyi.
Tom frowned.	Tom rypisti otsaansa.
Tom gave up.	Tom antoi periksi.
Tom got mad.	Tom suuttui.
Tom groaned.	Tom ähkäisi.
Tom had fun.	Tomilla oli hauskaa.
Tom has OCD.	Tomilla on pakkoneuroosi.
Tom is cool.	Tom on cool.
Tom is cute.	Tomi on söpö.
Tom is dead.	Tom on kuollut.
Tom is deaf.	Tom on kuuro.
Tom is fast.	Tom on nopea.
Tom is fine.	Tom on kunnossa.
Tom is good.	Tomilla on kaikki hyvin.
Tom is here.	Tomi on täällä.
Tom is kind.	Tom on kiltti.
Tom is late.	Tom on myöhässä.
Tom is lazy.	Tom on laiska.
Tom is meek.	Tomi on arka.
Tom is nuts.	Tom on täysin sekopää.
Tom is rude.	Tom on epäkohtelias.
Tom is slow.	Tom on hidas.
Tom is ugly.	Tom on ruma.
Tom is weak.	Tom on heikko.
Tom is well.	Tom voi hyvin.
Tom is wise.	Tom on viisas.
Tom kneeled.	Tom polvistui.
Tom listens.	Tom kuuntelee.
Tom lost it.	Tom hävitti sen.
Tom relaxed.	Tom rentoutui.
Tom retired.	Tom jäi eläkkeelle.
Tom said no.	Tom sanoi ei.
Tom shot me.	Tom ampui minua.
Tom sneezed.	Tom aivasti.
Tom teaches.	Tom opettaa.
Tom was old.	Tom oli vanha.
Tom'll stay.	Tom jää.
Tom's alert.	Tom on valpas.
Tom's alive.	Tom on elossa.
Tom's awake.	Tom on valveilla.
Tom's crazy.	Tom on hullu.
Tom's lucky.	Tomilla on onnea.
Tom's lying.	Tom valehtelee.
Tom's right.	Tom on oikeassa.
Tom's smart.	Tom on fiksu.
Tom's tired.	Tomi on väsynyt.
Tom's young.	Tomi on nuori.
Try that on.	Sovita tuota.
Try this on.	Sovita tätä päällesi.
Turn around.	Käänny ympäri.
Wake Tom up.	Herätä Tom!
Wake up Tom.	Herätä Tom!
Walk slowly.	Kävele hitaasti.
War is hell.	Sota on helvettiä.
Was it good?	Oliko se hyvä?
We are lost.	Olemme eksyksissä.
We found it.	Löysimme sen.
We must run.	Meidän pitää juosta.
We need you.	Tarvitsemme sinua.
We promised.	Me lupasimme.
We remember.	Me muistamme.
We survived!	Selvisimme!
We survived.	Me selvisimme.
We're crazy.	Olemme aivan pöhköjä.
We're dying.	Me kuolemme.
We're tired.	Me olemme väsyneitä.
